freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2761137123.74581957	2565.20800000	2561.04600000	2635.87600000	2634.60400000	2604.21800000	2604.77200000	2643.46200000	2643.08800000	2633.57000000	2630.33000000	2575.29000000	2575.64400000	2604.01400000	2601.86600000	2599.05600000	2597.03400000	2618.64400000	2613.28400000	2560.70000000	2557.74400000	2604.00380000	2601.94120000
2762140468.22742462	2599.32600000	2603.17800000	2594.70600000	2592.59200000	2617.90000000	2610.70600000	2605.42600000	2603.22400000	2621.65200000	2620.39000000	2566.95000000	2572.19200000	2629.70400000	2626.86400000	2626.32200000	2620.55600000	2574.58600000	2572.02800000	2547.70400000	2548.32400000	2598.42760000	2597.00540000
2763143812.70903015	2649.38800000	2648.11000000	2600.48800000	2594.85200000	2600.77000000	2594.58800000	2598.99600000	2595.87600000	2594.32800000	2596.36800000	2583.94200000	2586.97600000	2605.98400000	2599.81200000	2597.57800000	2593.51000000	2582.25400000	2581.98400000	2573.32400000	2573.20600000	2598.70520000	2596.52820000
2764147157.19063568	2610.73200000	2611.81000000	2609.77000000	2610.17600000	2608.16800000	2603.22000000	2604.12400000	2604.37600000	2597.25800000	2595.11800000	2577.18400000	2572.82000000	2621.50000000	2622.11200000	2609.18200000	2611.20600000	2597.41400000	2595.39000000	2589.41200000	2591.36200000	2602.47440000	2601.75900000
2765150501.67224073	2629.12800000	2629.09000000	2593.67600000	2590.43800000	2598.26000000	2596.38800000	2620.95600000	2614.62200000	2595.85400000	2590.68000000	2577.29800000	2573.63800000	2593.09000000	2590.34400000	2621.13600000	2615.58800000	2593.14000000	2592.35000000	2574.51600000	2577.36800000	2599.70540000	2597.05060000
2766153846.15384626	2622.83200000	2622.59200000	2601.39400000	2604.97800000	2579.84200000	2575.95400000	2598.19000000	2597.02800000	2582.79400000	2578.40800000	2578.09400000	2579.79800000	2605.64600000	2605.48800000	2624.08000000	2622.59200000	2571.99800000	2572.73400000	2566.45000000	2567.08600000	2593.13200000	2592.66580000
2767157190.63545132	2643.71200000	2640.11800000	2602.23600000	2595.15200000	2606.44600000	2605.68600000	2604.61200000	2601.28800000	2603.32200000	2603.90000000	2587.81400000	2584.97800000	2611.87000000	2608.42600000	2620.14400000	2619.23200000	2605.19200000	2607.39400000	2586.89200000	2583.71000000	2607.22400000	2604.98840000
2768160535.11705685	2622.21800000	2622.29600000	2612.87600000	2611.33800000	2582.65400000	2581.74400000	2601.40200000	2596.19000000	2583.06000000	2586.75600000	2578.41400000	2581.50400000	2610.59200000	2610.57200000	2621.43400000	2618.11800000	2574.30400000	2574.64000000	2569.82200000	2568.23600000	2595.67760000	2595.13940000
2769163879.59866238	2629.98000000	2629.06800000	2597.68600000	2599.35000000	2618.92600000	2618.49400000	2618.86200000	2619.08400000	2597.19400000	2597.35600000	2591.90800000	2587.05000000	2596.95000000	2592.97200000	2596.85000000	2598.52600000	2604.19000000	2603.11800000	2570.58400000	2570.32400000	2602.31300000	2601.53420000
2770167224.08026743	2631.86800000	2631.84000000	2630.13000000	2629.20400000	2597.27000000	2593.20000000	2648.24000000	2640.11400000	2592.65800000	2594.38800000	2580.02400000	2583.58200000	2603.10800000	2604.32600000	2640.11600000	2643.73600000	2599.98000000	2599.03200000	2550.42600000	2548.38600000	2607.38200000	2606.78080000
2771170568.56187296	2634.33800000	2635.26600000	2604.88200000	2603.17600000	2574.36600000	2574.05200000	2609.21400000	2604.61400000	2600.46000000	2595.41000000	2570.79200000	2572.96400000	2612.12800000	2609.67200000	2643.51800000	2642.16200000	2587.71800000	2589.64800000	2569.86800000	2565.59000000	2600.72840000	2599.25540000
2772173913.04347849	2613.90000000	2610.75400000	2608.75000000	2611.27400000	2608.78000000	2611.35200000	2604.01600000	2605.51600000	2595.93400000	2594.61000000	2579.27200000	2575.84800000	2636.87000000	2636.22000000	2620.04000000	2616.58200000	2595.66800000	2590.51400000	2575.39400000	2576.30400000	2603.86240000	2602.89740000
2773177257.52508354	2556.76200000	2557.31000000	2628.99600000	2626.63200000	2594.00200000	2589.03200000	2647.62200000	2642.80600000	2629.25000000	2633.57800000	2576.62400000	2575.15600000	2600.11400000	2599.27800000	2605.20000000	2607.08200000	2593.30800000	2592.43400000	2555.02600000	2552.76600000	2598.69040000	2597.60740000
2774180602.00668907	2567.27400000	2564.80400000	2629.35800000	2630.41200000	2605.59200000	2600.96000000	2645.50800000	2649.06800000	2645.00800000	2643.58800000	2579.32600000	2576.49200000	2589.94200000	2587.44800000	2584.26600000	2580.65400000	2609.52800000	2606.89000000	2558.03400000	2554.20200000	2601.38360000	2599.45180000
2775183946.48829412	2559.01400000	2557.53400000	2633.33200000	2630.66600000	2601.17000000	2595.29200000	2645.78200000	2642.45200000	2631.79000000	2632.83600000	2577.80200000	2577.25600000	2606.15000000	2604.70200000	2604.79000000	2603.03800000	2599.43600000	2600.42200000	2556.09600000	2552.90400000	2601.53620000	2599.71020000
2776187290.96989965	2569.16200000	2570.84400000	2621.16800000	2617.82800000	2595.86400000	2599.34400000	2625.28000000	2620.88400000	2640.34600000	2640.45200000	2573.31600000	2572.15600000	2599.93600000	2596.15000000	2593.54200000	2591.25600000	2589.83800000	2592.28200000	2545.35600000	2549.30400000	2595.38080000	2595.05000000
2777190635.45150518	2629.85400000	2629.63200000	2605.55600000	2600.12200000	2606.05400000	2607.34600000	2625.20400000	2621.39200000	2593.80000000	2595.95000000	2586.37200000	2583.08800000	2614.21400000	2613.12400000	2610.64000000	2614.42000000	2616.93600000	2610.97000000	2590.94400000	2588.35200000	2607.95740000	2606.43960000
2778193979.93311024	2573.73200000	2571.77800000	2629.40000000	2628.53000000	2612.30600000	2608.49400000	2650.12400000	2641.78600000	2646.23600000	2643.75200000	2587.36600000	2587.35800000	2601.71400000	2602.99000000	2567.80200000	2565.43600000	2603.62200000	2600.79000000	2596.08600000	2591.06000000	2606.83880000	2604.19740000
2779197324.41471577	2627.20200000	2624.98600000	2634.66400000	2634.29000000	2611.17800000	2612.15000000	2634.56000000	2636.89400000	2598.98200000	2597.96000000	2593.61800000	2595.83400000	2597.88400000	2589.49800000	2629.11800000	2628.79400000	2624.12200000	2626.48200000	2564.59600000	2562.71400000	2611.59240000	2610.96020000
2780200668.89632130	2621.68600000	2622.23200000	2609.21000000	2605.61000000	2579.60800000	2578.34400000	2600.42000000	2594.39600000	2582.38200000	2576.59600000	2579.28400000	2578.47000000	2604.94600000	2607.19400000	2621.52200000	2621.24000000	2575.42200000	2576.15400000	2562.60400000	2567.33400000	2593.70840000	2592.75700000
2781204013.37792635	2629.95000000	2622.19200000	2619.11000000	2623.11200000	2593.90000000	2589.56000000	2639.84000000	2636.40000000	2588.75800000	2587.28000000	2574.71400000	2578.34400000	2612.90400000	2614.05800000	2642.03400000	2634.02600000	2588.37000000	2592.14400000	2559.00200000	2557.33600000	2604.85820000	2603.44520000
2782207357.85953188	2630.75800000	2627.78400000	2603.12000000	2602.97000000	2586.63600000	2588.09200000	2608.18200000	2610.84800000	2594.30000000	2595.08600000	2589.21400000	2585.65600000	2627.06400000	2629.07600000	2653.44000000	2652.54600000	2575.31400000	2573.82000000	2579.39200000	2579.95800000	2604.74200000	2604.58360000
2783210702.34113693	2644.90000000	2645.53600000	2603.24400000	2603.59800000	2620.04800000	2620.52400000	2601.15200000	2599.99800000	2592.74200000	2592.85800000	2591.96200000	2588.11000000	2587.59600000	2587.13600000	2591.65800000	2593.29600000	2594.18400000	2593.72600000	2575.22600000	2573.69600000	2600.27120000	2599.84780000
2784214046.82274246	2624.56000000	2624.22600000	2605.17000000	2604.30800000	2578.28000000	2581.30800000	2613.10200000	2609.65000000	2599.56600000	2600.53200000	2580.42400000	2580.52400000	2627.19000000	2624.07400000	2644.73000000	2648.10200000	2587.08800000	2589.46200000	2584.11400000	2580.18000000	2604.42240000	2604.23660000
2785217391.30434799	2595.80800000	2597.82400000	2597.51600000	2596.79200000	2601.02400000	2599.69400000	2606.45800000	2607.88000000	2649.21200000	2644.86200000	2569.39800000	2572.04800000	2616.72200000	2616.79000000	2622.79200000	2617.59800000	2575.99000000	2573.74200000	2557.53000000	2561.87800000	2599.24500000	2598.91080000
2786220735.78595304	2628.88600000	2635.81600000	2599.87800000	2599.19400000	2634.60400000	2627.83400000	2619.44800000	2618.79600000	2599.64000000	2596.96200000	2594.22200000	2591.20000000	2597.43000000	2600.24600000	2597.34800000	2597.92000000	2606.54000000	2604.48600000	2570.42400000	2571.21200000	2604.84200000	2604.36660000
2787224080.26755857	2622.55400000	2623.13000000	2604.08600000	2601.68200000	2571.71400000	2569.81400000	2600.43800000	2599.64800000	2589.55000000	2586.29600000	2575.34800000	2578.76200000	2610.71200000	2613.50200000	2632.90800000	2630.09400000	2583.29400000	2576.98200000	2565.17600000	2563.77400000	2595.57800000	2594.36840000
2788227424.74916410	2605.66200000	2600.89200000	2594.83200000	2595.96600000	2617.51800000	2611.96800000	2608.18400000	2606.15000000	2631.45400000	2628.72800000	2575.54800000	2573.98200000	2633.93200000	2635.48000000	2623.01400000	2623.96800000	2576.79200000	2579.41400000	2556.03200000	2554.10800000	2602.29680000	2601.06560000
2789230769.23076916	2604.67400000	2605.32000000	2599.34000000	2595.98000000	2616.32000000	2618.27600000	2606.44400000	2603.59400000	2615.78200000	2606.46600000	2577.06800000	2577.28600000	2634.61000000	2629.70800000	2626.47200000	2626.29800000	2586.20200000	2581.93200000	2562.29400000	2559.52400000	2602.92060000	2600.43840000
