freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2754113712.37458181	2442.68200000	2439.69000000	2445.25600000	2441.94600000	2418.18800000	2419.27800000	2413.21000000	2410.56200000	2432.67200000	2431.57600000	2414.61600000	2411.65600000	2411.83000000	2413.25800000	2425.66200000	2424.61800000	2421.66200000	2417.03200000	2406.55200000	2407.34400000	2423.23300000	2421.69600000
2755117056.85618734	2423.34600000	2419.82000000	2453.05200000	2449.18400000	2421.10600000	2424.14600000	2419.23000000	2415.93800000	2428.91200000	2421.65800000	2422.08400000	2421.38400000	2434.24400000	2434.46000000	2441.75200000	2438.31000000	2417.38600000	2420.27600000	2422.52200000	2424.76600000	2428.36340000	2426.99420000
2756120401.33779287	2451.10400000	2450.10600000	2448.30000000	2448.61000000	2428.09400000	2422.55000000	2414.65000000	2410.26800000	2441.26400000	2443.24800000	2419.59200000	2423.76200000	2415.57400000	2417.44000000	2432.65200000	2431.35400000	2423.03800000	2425.57200000	2419.55000000	2418.54400000	2429.38180000	2429.14540000
2757123745.81939793	2424.36000000	2423.88600000	2451.22200000	2446.45400000	2416.65200000	2416.61800000	2404.76800000	2406.72200000	2439.50200000	2437.84200000	2399.85800000	2398.14200000	2423.21800000	2418.45800000	2412.80600000	2415.57600000	2423.16000000	2424.57000000	2407.73400000	2404.73600000	2420.32800000	2419.30040000
2758127090.30100346	2443.39800000	2441.47000000	2434.81800000	2433.56400000	2435.12800000	2438.82800000	2426.82800000	2423.27400000	2416.41000000	2413.86400000	2430.45600000	2433.29000000	2426.54000000	2420.28600000	2419.99600000	2423.88200000	2415.03200000	2415.72000000	2424.66600000	2420.17200000	2427.32720000	2426.43500000
2759130434.78260851	2431.58400000	2434.36200000	2424.63000000	2422.35000000	2427.17000000	2425.84600000	2411.10000000	2409.28400000	2408.84000000	2403.77400000	2422.87600000	2422.40600000	2414.46400000	2411.94000000	2413.16200000	2411.57400000	2407.16400000	2403.89600000	2420.89400000	2422.05600000	2418.18840000	2416.74880000
2760133779.26421404	2420.45800000	2421.06400000	2452.85000000	2446.34600000	2417.19600000	2414.46600000	2416.85800000	2415.19200000	2428.33400000	2423.64200000	2423.43800000	2423.67600000	2441.17600000	2436.55000000	2438.53000000	2438.22800000	2419.17200000	2414.72400000	2426.48000000	2421.40600000	2428.44920000	2425.52940000
2761137123.74581957	2431.40400000	2429.08000000	2449.85600000	2450.49600000	2421.17400000	2418.01600000	2403.92400000	2406.23000000	2413.45600000	2412.56600000	2434.51400000	2433.91400000	2413.45200000	2414.76600000	2420.31800000	2419.46000000	2416.19600000	2418.93200000	2404.25400000	2406.85400000	2420.85480000	2421.03140000
2762140468.22742462	2422.19200000	2420.90000000	2448.88400000	2447.02400000	2420.66000000	2417.97200000	2426.23800000	2422.19600000	2421.58400000	2426.44400000	2420.96800000	2415.49600000	2445.25400000	2444.87200000	2446.67200000	2440.78600000	2421.47200000	2421.69800000	2416.72400000	2414.98000000	2429.06480000	2427.23680000
2763143812.70903015	2418.60200000	2420.99800000	2448.06200000	2447.26000000	2417.35200000	2422.33000000	2414.15800000	2417.35600000	2426.55400000	2420.03600000	2418.58800000	2414.28600000	2428.24800000	2426.69200000	2436.21400000	2436.75600000	2411.22800000	2411.65000000	2418.67600000	2419.80000000	2423.76820000	2423.71640000
